GeoCategory,Count,Colour,Length
Shanghai (roc),4,0.0,NaN
Hong Kong,5,0.8,12.0
Inner Mongolia,2,0.5,11.5
Shanghai (private),84,0.0,10.958333333333334
Anhui,1,0.0,10.0
Shandong,1,0.0,10.0
Xi'an,15,0.13333333333333333,9.133333333333333
Western Europe,1,1.0,10.0
Xinjiang,5,0.4,9.4
Tianjin,1,1.0,15.0
Beijing,131,0.2595419847328244,9.641221374045802
Sichuan,3,0.3333333333333333,10.333333333333334
Shanghai (state),146,0.18493150684931506,9.887323943661972
Hubei,2,0.5,11.0
Zhejiang,1,0.0,7.0
Jiangsu,2,0.0,11.0
Qinghai,1,0.0,9.0
Canton,11,0.09090909090909091,9.636363636363637
Soviet Union,1,1.0,21.0
Northeast,145,0.16551724137931034,9.51388888888889
