GeoCategory,Year,Count,Colour,Length
Northeast,1949,6,0.0,9.5
Shanghai (state),1960,14,0.42857142857142855,10.285714285714286
Shanghai (state),1961,9,0.5555555555555556,10.285714285714286
Shanghai (state),1962,8,0.375,11.0
Shanghai (state),1963,16,0.3125,10.866666666666667
Northeast,1966,2,0.5,7.5
Northeast,1965,12,0.5,10.083333333333334
Northeast,1964,8,0.625,10.0
Northeast,1963,9,0.3333333333333333,10.222222222222221
Shanghai (state),1964,8,0.5,10.875
Shanghai (state),1965,13,0.5384615384615384,9.153846153846153
Shanghai (state),1966,2,0.5,4.5
All,1949,45,0.022727272727272728,10.0
Xi'an,1959,3,0.0,7.333333333333333
Northeast,1962,5,0.4,11.0
Northeast,1961,6,0.3333333333333333,10.333333333333334
Northeast,1960,16,0.0625,10.5
Northeast,1959,26,0.46153846153846156,10.384615384615385
Northeast,1958,32,0.125,8.483870967741936
Northeast,1957,14,0.07142857142857142,9.428571428571429
Northeast,1956,15,0.0,8.533333333333333
Northeast,1955,10,0.0,9.8
Northeast,1954,8,0.0,9.125
Northeast,1953,4,0.0,8.75
Northeast,1952,2,0.0,10.0
Northeast,1951,1,0.0,3.0
Northeast,1950,13,0.0,10.0
Beijing,1957,11,0.45454545454545453,7.818181818181818
Beijing,1956,8,0.5,8.25
Beijing,1959,22,0.6818181818181818,9.952380952380953
Beijing,1958,23,0.21739130434782608,8.956521739130435
All,1960,64,0.25,9.90625
All,1961,29,0.41379310344827586,10.192307692307692
Beijing,1951,3,0.0,10.666666666666666
Beijing,1950,6,0.0,7.6
Beijing,1953,2,0.0,9.0
Beijing,1952,2,0.0,11.5
Canton,1958,1,0.0,5.0
Beijing,1955,3,0.3333333333333333,7.0
Canton,1959,1,0.0,7.0
Beijing,1954,3,0.0,9.666666666666666
All,1964,32,0.53125,9.875
All,1965,49,0.4489795918367347,9.938775510204081
All,1962,34,0.3235294117647059,10.529411764705882
All,1963,41,0.2926829268292683,10.625
All,1966,16,0.4375,7.5
Shanghai (state),1950,2,0.0,9.5
Shanghai (state),1951,6,0.0,9.833333333333334
Shanghai (state),1952,1,0.0,13.0
All,1950,44,0.0,10.074074074074074
Shanghai (state),1957,18,0.2222222222222222,10.277777777777779
Beijing,1960,19,0.42105263157894735,9.947368421052632
Shanghai (state),1958,51,0.0392156862745098,8.03921568627451
Shanghai (state),1959,30,0.36666666666666664,10.222222222222221
Beijing,1962,14,0.35714285714285715,9.928571428571429
Beijing,1961,7,0.5714285714285714,10.428571428571429
Shanghai (state),1953,1,0.0,12.0
Xi'an,1961,2,0.0,10.0
Beijing,1964,15,0.5333333333333333,9.266666666666667
Shanghai (state),1954,13,0.07692307692307693,9.153846153846153
Xi'an,1960,7,0.14285714285714285,9.142857142857142
Beijing,1963,12,0.25,10.666666666666666
Shanghai (state),1955,12,0.08333333333333333,9.0
Xi'an,1963,1,0.0,12.0
Beijing,1966,5,0.2,10.0
Shanghai (state),1956,20,0.15,9.35
Xi'an,1962,3,0.3333333333333333,9.666666666666666
Beijing,1965,17,0.4117647058823529,10.470588235294118
Xi'an,1965,3,0.0,10.666666666666666
Xi'an,1964,1,1.0,12.0
All,1959,85,0.4470588235294118,10.037037037037036
Xi'an,1966,2,0.0,5.5
All,1953,10,0.0,9.3
All,1954,25,0.04,9.2
All,1951,31,0.0,9.882352941176471
All,1952,9,0.0,11.125
All,1957,43,0.23255813953488372,9.372093023255815
All,1958,107,0.102803738317757,8.339622641509434
All,1955,25,0.08,9.08
All,1956,43,0.16279069767441862,8.86046511627907
Canton,1964,2,0.5,11.0
Shanghai (private),1949,35,0.029411764705882353,10.75
Canton,1965,3,0.3333333333333333,9.666666666666666
Canton,1966,5,0.8,7.0
Shanghai (private),1951,21,0.0,10.571428571428571
Shanghai (private),1952,4,0.0,11.0
Shanghai (private),1953,3,0.0,9.333333333333334
Canton,1960,4,0.25,10.25
Canton,1961,2,0.5,12.0
Canton,1962,4,0.0,11.5
Canton,1963,3,0.3333333333333333,10.0
Shanghai (private),1950,23,0.0,12.142857142857142
