Studio,Count,Colour,Length
东华影业公司,2,0.0,NaN
Jiangsu Film Studio,2,0.0,11.0
启华影片公司 (Hong Kong),1,0.0,NaN
Zhejiang Film Studio,1,0.0,7.0
Shandong Film Studio,1,0.0,10.0
华星影业公司 (Hong Kong),1,0.0,NaN
Xinjiang Film Studio,5,0.4,9.4
嘉年影业公司,3,0.0,NaN
雷电影业公司,1,0.0,NaN
大华电影企业公司,1,0.0,NaN
Hong Kong Dapeng Film Company,2,1.0,13.5
Garance Productions (France),1,1.0,10.0
Tianjin Film Studio,1,1.0,15.0
August First Film Studio,63,0.15873015873015872,9.444444444444445
华光影业制片厂,1,0.0,NaN
Changjiang-Kunlun Associated Film Studio,3,0.0,9.666666666666666
Tianma Film Studio,44,0.25,9.785714285714286
Qinghai Film Studio,1,0.0,9.0
Emei Film Studio,3,0.3333333333333333,10.333333333333334
Northeast Film Studio,31,0.0,9.612903225806452
Wenhua Film Company,15,0.0,11.5
Jiangnan Film Studio,11,0.18181818181818182,9.909090909090908
Guotai Film Company,15,0.0,12.0
Haiyan Film Studio,52,0.3076923076923077,9.88
中央电影摄影场一厂,2,0.0,NaN
Xi'an Film Studio,15,0.13333333333333333,9.133333333333333
Changjiang Film Studio,3,0.0,10.0
Central Newsreel and Documentary Film Studio,2,0.0,5.5
Hong Kong Hongtu Film Company,2,0.5,10.5
Datong Film Company,10,0.0,10.5
中央电影摄影场二厂,2,0.0,NaN
华东影片经理公司,1,0.0,NaN
新时代影业公司 (Hong Kong),2,0.0,NaN
中企影艺社,3,0.0,NaN
Anhui Film Studio,1,0.0,10.0
Da Guangming Film Company,4,0.0,11.0
Shanghai Film Studio,41,0.0,10.024390243902438
Wuhan Film Studio,2,0.5,11.0
Moscow Film Studio,1,1.0,21.0
Kunlun Film Company,8,0.0,10.833333333333334
中联影业公司 (Hong Kong),1,0.0,NaN
华侨影业公司 (Hong Kong),2,0.0,NaN
Beijing Film Studio,63,0.36507936507936506,10.26984126984127
惠昌商务有限公司,2,0.0,NaN
远东影业公司,1,0.0,NaN
Studio of Beijing Film Academy,3,0.3333333333333333,3.3333333333333335
嘉华影业公司,1,0.0,NaN
新中华影业公司,3,0.0,NaN
Hong Kong Jinsheng Film Company,1,1.0,12.0
中国五彩电影实验工场,1,0.0,NaN
Inner Mongolia Film Studio,2,0.5,11.5
Changchun Film Studio,114,0.21052631578947367,9.486725663716815
黎明影业公司,1,0.0,NaN
Pearl River Film Studio,11,0.09090909090909091,9.636363636363637
Harbin Film Studio,1,1.0,12.0
