Studio,Year,Count,Colour,Length
Northeast Film Studio,1952,2,0.0,10.0
Northeast Film Studio,1953,4,0.0,8.75
Northeast Film Studio,1950,13,0.0,10.0
Beijing Film Studio,1966,3,0.3333333333333333,11.0
Northeast Film Studio,1951,1,0.0,3.0
Beijing Film Studio,1965,11,0.5454545454545454,10.909090909090908
Beijing Film Studio,1964,8,0.625,9.375
Beijing Film Studio,1963,6,0.3333333333333333,11.0
Beijing Film Studio,1962,7,0.5714285714285714,10.285714285714286
Beijing Film Studio,1961,4,0.75,11.0
August First Film Studio,1966,2,0.0,8.5
Northeast Film Studio,1949,6,0.0,9.5
Haiyan Film Studio,1960,10,0.5,10.2
August First Film Studio,1965,7,0.2857142857142857,10.571428571428571
August First Film Studio,1964,7,0.42857142857142855,9.142857142857142
August First Film Studio,1963,6,0.16666666666666666,10.333333333333334
August First Film Studio,1962,7,0.14285714285714285,9.571428571428571
August First Film Studio,1961,3,0.3333333333333333,9.666666666666666
August First Film Studio,1960,8,0.375,9.75
Tianma Film Studio,1960,6,0.5,10.5
Tianma Film Studio,1961,5,0.6,10.666666666666666
Tianma Film Studio,1962,4,0.25,8.75
Tianma Film Studio,1963,8,0.375,11.0
Haiyan Film Studio,1966,1,0.0,8.0
Tianma Film Studio,1964,3,0.3333333333333333,11.0
Haiyan Film Studio,1965,6,0.3333333333333333,9.833333333333334
Haiyan Film Studio,1964,5,0.6,10.8
Tianma Film Studio,1965,5,0.6,10.6
Haiyan Film Studio,1963,8,0.25,10.714285714285714
Haiyan Film Studio,1962,4,0.5,13.25
Haiyan Film Studio,1961,4,0.5,10.0
Tianma Film Studio,1958,19,0.05263157894736842,7.473684210526316
Xi'an Film Studio,1960,7,0.14285714285714285,9.142857142857142
Tianma Film Studio,1959,12,0.3333333333333333,9.818181818181818
Xi'an Film Studio,1961,2,0.0,10.0
Xi'an Film Studio,1964,1,1.0,12.0
Xi'an Film Studio,1965,3,0.0,10.666666666666666
Beijing Film Studio,1959,10,0.8,10.8
Xi'an Film Studio,1962,3,0.3333333333333333,9.666666666666666
Beijing Film Studio,1958,8,0.5,9.375
Xi'an Film Studio,1963,1,0.0,12.0
Beijing Film Studio,1957,4,1.0,8.75
Jiangnan Film Studio,1957,6,0.3333333333333333,10.5
Beijing Film Studio,1956,4,1.0,9.25
Beijing Film Studio,1955,1,1.0,12.0
Jiangnan Film Studio,1959,2,0.0,10.0
Beijing Film Studio,1954,2,0.0,8.5
Jiangnan Film Studio,1958,15,0.0,8.733333333333333
Beijing Film Studio,1953,2,0.0,9.0
Beijing Film Studio,1952,2,0.0,11.5
Beijing Film Studio,1951,3,0.0,10.666666666666666
Beijing Film Studio,1950,6,0.0,7.6
Beijing Film Studio,1960,10,0.5,10.8
Xi'an Film Studio,1959,3,0.0,7.333333333333333
Tianma Film Studio,1957,7,0.2857142857142857,10.571428571428571
Haiyan Film Studio,1959,16,0.4375,10.571428571428571
Haiyan Film Studio,1958,17,0.058823529411764705,8.058823529411764
Northeast Film Studio,1954,8,0.0,9.125
Haiyan Film Studio,1957,5,0.0,9.6
Changchun Film Studio,1960,16,0.0625,10.5
Changchun Film Studio,1961,6,0.3333333333333333,10.333333333333334
Changchun Film Studio,1962,5,0.4,11.0
Changchun Film Studio,1963,9,0.3333333333333333,10.222222222222221
Changchun Film Studio,1964,8,0.625,10.0
Changchun Film Studio,1965,12,0.5,10.083333333333334
Changchun Film Studio,1966,2,0.5,7.5
Pearl River Film Studio,1958,1,0.0,5.0
Pearl River Film Studio,1959,1,0.0,7.0
Changchun Film Studio,1955,10,0.0,9.8
Changchun Film Studio,1956,15,0.0,8.533333333333333
Changchun Film Studio,1957,14,0.07142857142857142,9.428571428571429
Changchun Film Studio,1958,32,0.125,8.483870967741936
Changchun Film Studio,1959,26,0.46153846153846156,10.384615384615385
Pearl River Film Studio,1965,3,0.3333333333333333,9.666666666666666
Pearl River Film Studio,1966,5,0.8,7.0
Pearl River Film Studio,1963,3,0.3333333333333333,10.0
Pearl River Film Studio,1964,2,0.5,11.0
Pearl River Film Studio,1961,2,0.5,12.0
Pearl River Film Studio,1962,4,0.0,11.5
Pearl River Film Studio,1960,4,0.25,10.25
Xi'an Film Studio,1966,2,0.0,5.5
Shanghai Film Studio,1955,12,0.08333333333333333,9.0
Shanghai Film Studio,1956,20,0.15,9.35
Shanghai Film Studio,1950,2,0.0,9.5
August First Film Studio,1959,11,0.6363636363636364,9.5
Shanghai Film Studio,1953,1,0.0,12.0
August First Film Studio,1958,15,0.06666666666666667,8.733333333333333
Shanghai Film Studio,1954,13,0.07692307692307693,9.153846153846153
August First Film Studio,1957,5,0.0,8.8
Shanghai Film Studio,1951,6,0.0,9.833333333333334
August First Film Studio,1956,2,0.0,9.0
Shanghai Film Studio,1952,1,0.0,13.0
August First Film Studio,1955,1,0.0,4.0
