Region,Topic,Count
Xi'an,0,1
Canton,9,1
Xi'an,5,2
Xi'an,6,1
Xi'an,7,2
Xi'an,1,1
Xi'an,2,3
Xi'an,3,1
Xi'an,4,1
Northeast,0,12
Canton,0,1
Shanghai (private),0,5
Northeast,1,12
Shanghai (private),1,8
Shanghai (private),2,4
Xi'an,9,1
Northeast,8,17
Northeast,9,15
Canton,7,2
Northeast,6,9
Canton,6,1
Northeast,7,14
Northeast,4,7
Canton,4,3
Northeast,5,12
Northeast,2,11
Canton,2,1
Northeast,3,11
Canton,1,2
Xinjiang,13,2
Shandong,2,1
Xinjiang,10,1
Sichuan,4,1
Sichuan,2,1
Anhui,1,2
Anhui,2,1
Anhui,14,1
Qinghai,13,1
Beijing,4,8
Beijing,5,7
Xi'an,15,4
Beijing,2,11
Beijing,3,4
Beijing,0,13
Xi'an,10,1
Beijing,1,18
Xi'an,11,2
Xi'an,12,1
Shanghai (state),9,15
Xi'an,13,1
Shanghai (private),7,10
Shanghai (state),8,14
Sichuan,12,1
Shanghai (state),7,11
Shanghai (private),8,6
Shanghai (private),9,4
Shanghai (state),6,8
Shanghai (state),5,12
Beijing,8,16
Shanghai (state),4,14
Shanghai (private),3,3
Shanghai (state),3,7
Anhui,13,1
Beijing,9,2
Shanghai (private),4,2
Shanghai (state),2,16
Shanghai (private),5,5
Beijing,6,8
Anhui,10,1
Shanghai (private),6,3
Beijing,7,5
Shanghai (state),1,25
Shanghai (state),0,12
Hubei,7,1
Hubei,9,1
Hunan,6,1
Hubei,4,1
Hubei,1,1
Hong Kong,12,3
Shanghai (state),15,22
Shanghai (state),14,11
Shanghai (state),13,8
Shanghai (state),12,12
Shanghai (state),11,22
Shanghai (state),10,15
Tianjin,10,1
Hong Kong,11,4
Hong Kong,10,1
Canton,11,3
Canton,10,2
Canton,13,1
Canton,12,3
Canton,15,2
Canton,14,3
Inner Mongolia,7,2
Tianjin,12,1
Jiangsu,13,1
Hong Kong,4,1
Hong Kong,3,1
Hong Kong,6,2
Hong Kong,5,1
Hong Kong,0,2
Gansu,1,1
Hong Kong,1,1
Northeast,10,12
Zhejiang,0,1
Northeast,11,12
Northeast,12,15
Northeast,13,12
Northeast,14,8
Northeast,15,10
Shanghai (roc),11,1
Shanghai (roc),7,1
Soviet Union,3,1
Shanghai (roc),3,1
Beijing,10,14
Western Europe,14,1
Shandong,10,1
Beijing,12,10
Shanghai (roc),0,1
Beijing,11,24
Shanghai (private),12,3
Shanghai (private),13,12
Shanghai (private),14,1
Shanghai (private),15,7
Shanghai (private),10,6
Shanghai (private),11,7
Jiangsu,6,1
Xinjiang,7,1
Beijing,14,13
Beijing,13,11
Beijing,15,8
Hubei,11,1
Xinjiang,1,1
